SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532906,MAANALU     ,B ,Q,112.00,116.00,112.00,114.85,114.95,110.50,47,2131,242407.00,
532907,ILFSENGG    ,B ,Q,32.50,32.50,28.80,29.05,29.05,28.65,130,31627,933850.00,
532908,SHARON BIO  ,Z ,Q,4.10,4.49,4.09,4.09,4.09,4.30,28,29435,120857.00,
532914,ARCOTECH LTD,B ,Q,21.30,21.70,20.00,20.45,20.35,21.25,1004,132051,2719484.00,
532915,RELIGARE ENT,A ,Q,50.60,52.80,49.80,52.00,52.00,49.20,513,123955,6377047.00,
532916,BARAK VALL  ,T ,Q,22.00,22.00,22.00,22.00,22.00,22.00,1,180,3960.00,
532918,RATHI BARS  ,X ,Q,22.05,22.05,19.55,21.45,21.45,20.35,31,3613,73813.00,
532920,EMPEE DIST  ,B ,Q,19.90,19.95,19.00,19.00,19.00,20.00,60,17609,338054.00,
532921,ADANI PORTS ,A ,Q,376.00,384.70,376.00,379.40,378.65,375.70,869,67605,25724968.00,
532922,EDELWEISS   ,A ,Q,318.00,334.00,318.00,331.15,333.00,317.80,2185,145691,47748201.00,
532923,REN JEWELERY,B ,Q,288.70,296.80,288.00,288.00,288.00,288.00,11,2118,612215.00,
532924,KOLTEPATIL  ,B ,Q,292.05,297.35,287.00,289.80,289.80,288.50,206,6685,1953237.00,
532925,KAUSHAL INFR,B ,Q,1.62,1.94,1.62,1.81,1.82,1.78,12,6250,11824.00,
532926,JYOTHY LAB  ,B ,Q,423.90,423.90,408.10,417.50,415.00,404.80,683,2583,1069534.00,
532927,ECLERX      ,A ,Q,1304.15,1325.00,1275.00,1281.95,1275.00,1300.35,248,1417,1860578.00,
532928,TRIL        ,B ,Q,21.50,22.50,21.50,22.05,21.50,21.35,35,5381,119096.00,
532929,BRIGADE     ,B ,Q,235.00,248.00,234.95,246.60,246.60,233.15,87,1604,389659.00,
532930,BGR ENERGY  ,B ,Q,93.20,94.15,91.50,92.35,92.35,91.90,577,45583,4239345.00,
532931,BURNPUR     ,T ,Q,5.00,5.28,4.95,5.25,5.25,5.05,53,33596,171606.00,
532932,MANAKSIA LTD,B ,Q,57.30,57.30,56.10,56.10,56.10,56.85,5,363,20460.00,
532933,PORWAL AUTO ,X ,Q,46.70,48.75,46.70,48.30,48.30,45.55,80,12210,582831.00,
532934,PPAP        ,B ,Q,525.95,570.50,525.95,567.90,570.00,517.45,419,8724,4844949.00,
532935,ARIES AGRO  ,B ,Q,146.90,152.15,146.15,150.20,149.95,144.50,100,6555,982086.00,
532937,KUANTUM     ,X ,Q,633.00,649.95,587.00,629.55,630.00,585.50,110,1165,720058.00,
532938,CAPF        ,A ,Q,568.00,578.00,564.00,573.75,573.75,561.35,1436,61125,34996087.00,
532939,RPOWER      ,A ,Q,34.20,35.65,34.15,35.30,35.30,34.10,2148,1278990,44801130.00,
532940,J KUMAR INFR,B ,Q,266.00,269.50,260.00,268.75,268.50,259.50,155,6339,1692902.00,
532941,CORDS CABLE ,B ,Q,72.50,75.40,69.60,73.00,73.00,69.95,53,2004,146949.00,
532942,KNR CONST   ,B ,Q,269.55,287.95,269.55,286.00,286.00,268.00,802,18866,5295957.00,
532944,ONMOBILE    ,B ,Q,35.40,38.60,35.00,38.10,38.40,34.60,537,86274,3169025.00,
532945,SHRIRAM EPC ,B ,Q,17.90,18.75,17.45,18.50,18.75,17.15,194,37529,687666.00,
532946,BANG        ,B ,Q,39.80,40.00,37.65,39.05,38.60,38.90,57,24432,950829.00,
532947,IRB INFRA   ,A ,Q,236.00,241.50,235.00,238.05,238.05,234.70,940,82419,19705738.00,
532948,TULSI EXTRU ,T ,Q,1.50,1.54,1.50,1.50,1.50,1.47,19,6659,10208.00,
532951,GSS INFOTECH,B ,Q,80.70,84.90,80.70,84.30,83.60,80.90,353,51755,4354756.00,
532952,NAHAR CAP   ,B ,Q,119.00,120.90,119.00,120.45,120.05,115.60,14,1930,230792.00,
532953,V GUARD IND ,A ,Q,202.85,207.90,201.65,205.30,205.00,200.40,763,59055,12088835.00,
532955,RECLTD      ,A ,Q,111.55,117.25,110.20,116.75,116.75,110.70,1989,304343,35062363.00,
532957,GOKAK TEXTI ,X ,Q,36.50,36.50,36.50,36.50,36.50,36.75,1,100,3650.00,
532959,GAMMON INFRA,B ,Q,2.20,2.26,2.13,2.23,2.26,2.17,297,626056,1363827.00,
532960,IBVENTURES  ,A ,Q,415.25,430.00,410.35,430.00,430.00,409.55,1641,114917,48801953.00,
532961,SITA SHREE  ,T ,Q,2.53,2.55,2.53,2.55,2.55,2.43,4,10000,25442.00,
532966,TITAGARH WAG,A ,Q,96.50,99.50,95.85,99.00,98.80,95.80,661,75331,7373845.00,
532967,KIRI DYES   ,B ,Q,507.00,526.60,501.60,517.40,517.40,501.90,1286,42116,21864779.00,
532972,SANKHYA INFO,X ,Q,103.50,110.00,102.05,105.65,105.80,101.45,341,45652,4874021.00,
532974,ABML        ,T ,Q,57.50,60.20,57.50,60.00,60.00,57.35,110,10268,603195.00,
532975,AISHWARYA TE,X ,Q,3.79,3.79,3.45,3.79,3.79,3.61,12,4484,16666.00,
532976,JAIBALA IND ,B ,Q,9.20,9.79,8.65,8.84,8.98,9.58,30,7927,69745.00,
532977,BAJAJ AUTO  ,A ,Q,2908.90,2936.35,2867.00,2889.00,2881.00,2884.55,2519,36955,107201380.00,
532978,BAJAJ FINSE ,A ,Q,5910.00,6028.75,5910.00,6006.55,6002.00,5912.85,1151,11285,67502214.00,
532979,PIRPHYTO    ,T ,Q,31.50,31.50,31.00,31.00,31.00,31.90,7,453,14173.00,
532980,GOKUL REFOIL,B ,Q,13.44,13.99,13.02,13.73,13.74,12.54,149,38742,518189.00,
532983,RPG LIFESCI ,B ,Q,320.00,333.75,312.00,329.35,326.80,313.90,118,2171,707073.00,
532985,KOTAK SENSEX,B ,Q,360.00,360.00,349.00,352.47,349.00,354.00,15,802,283898.00,
532986,NIRAJ CEMENT,X ,Q,27.60,29.50,27.60,27.60,27.60,27.35,10,554,15297.00,
532987,RANE BRAKE  ,B ,Q,855.95,868.95,830.05,850.95,860.05,837.85,69,357,303336.00,
532988,RANE ENGVL  ,B ,Q,452.20,452.20,452.00,452.00,452.00,469.70,8,105,47462.00,
532989,BAFNA PHARMA,T ,Q,23.00,23.00,22.75,22.75,22.75,23.30,2,1000,22875.00,
532990,METKORE     ,B ,Q,2.45,2.65,2.25,2.35,2.35,2.45,19,23467,56994.00,
532991,MVL LIMITED ,T ,Q,0.33,0.33,0.32,0.32,0.32,0.33,3,110,36.00,
532992,CHL LTD     ,X ,Q,16.30,16.30,16.30,16.30,16.30,17.15,3,210,3423.00,
532993,SEZALGLASS  ,Z ,Q,4.20,4.20,4.18,4.18,4.18,4.05,2,20,83.00,
532994,ARCHIDPLY IN,B ,Q,65.00,68.30,64.70,67.20,67.20,63.60,87,5574,373125.00,
532997,KSK ENERGY  ,B ,Q,2.55,2.55,2.54,2.54,2.54,2.67,106,293200,744842.00,
532998,LEHIL       ,B ,Q,27.50,28.10,27.50,28.00,28.00,28.25,5,500,14000.00,
533001,SOMI CONVEY ,B ,Q,45.00,45.00,41.80,43.10,44.30,43.20,27,949,41005.00,
533006,BIRLA COTSYN,XT,Q,0.08,0.08,0.08,0.08,0.08,0.08,6,6042,483.00,
533008,OCL IRON&ST ,B ,Q,3.07,3.09,3.00,3.08,3.08,2.87,12,4530,13881.00,
533012,LANDMRK PRO ,B ,Q,3.53,3.53,3.46,3.46,3.46,3.23,2,110,387.00,
533014,SICAGEN IND ,B ,Q,35.70,35.70,34.15,35.25,35.25,34.30,56,5422,188811.00,
533015,NUTEK INDIA ,B ,Q,0.68,0.75,0.68,0.73,0.75,0.68,34,120185,83704.00,
533018,SIMPLEX MIL ,X ,Q,9.00,9.00,9.00,9.00,9.00,9.00,1,100,900.00,
